Date,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
8/15/20,West Virginia,US,8/16/20 4:30,38.4912,-80.9545,8462,160,6298,2004,54,472.1710886,350244,,1.890805956,84000054,USA,19543.26291,
8/15/20,Wisconsin,US,8/16/20 4:30,44.2685,-89.6165,65056,1038,55172,8846,55,1117.333404,1124666,5275,1.595548451,84000055,USA,19316.07984,8.108398918
8/15/20,Wyoming,US,8/16/20 4:30,42.756,-107.3025,3227,30,2659,538,56,557.5723228,60036,191,0.929656027,84000056,USA,10373.22962,5.91881004
8/16/20,Alabama,US,8/17/20 4:30,32.3182,-86.9023,108433,1898,41523,65012,1,2211.480905,846424,12607,1.750389642,84000001,USA,17262.7384,11.62653436
8/16/20,Alaska,US,8/17/20 4:30,61.3707,-152.4044,4259,28,1418,2813,2,582.192483,301515,,0.657431322,84000002,USA,41216.19313,
8/16/20,Arizona,US,8/17/20 4:30,33.7298,-111.4312,193537,4506,27582,161449,4,2658.943877,1091974,20755,2.328236978,84000004,USA,15002.2868,10.7240476
8/16/20,Virginia,US,8/17/20 4:30,37.7693,-78.17,106687,2381,13783,90523,51,1249.918136,1353848,14967,2.23176207,84000051,USA,15861.34364,14.02888824
8/16/20,Washington,US,8/17/20 4:30,47.4009,-121.4905,67461,1781,,65680,53,885.9087055,1016992,6230,2.640043877,84000053,USA,13355.30256,9.234965387
8/16/20,West Virginia,US,8/17/20 4:30,38.4912,-80.9545,8567,160,6429,1978,54,478.029983,355339,,1.86763161,84000054,USA,19827.55879,
8/16/20,Wisconsin,US,8/17/20 4:30,44.2685,-89.6165,65741,1039,55982,8720,55,1129.098243,1130779,5304,1.580444471,84000055,USA,19421.07029,8.06802452
8/16/20,Wyoming,US,8/17/20 4:30,42.756,-107.3025,3286,30,2668,588,56,567.7665488,60095,191,0.91296409,84000056,USA,10383.42384,5.81253804
